x-axis,1,2,3
second,Volt,Ampere,Volt
-3.5800E+00,+2.8708E+00,+3.5462E+00,+3.5300E+00
-3.5700E+00,+2.8711E+00,+3.5275E+00,+3.5300E+00
-3.5600E+00,+2.8708E+00,+3.5212E+00,+3.5300E+00
-3.5500E+00,+2.8702E+00,+3.5150E+00,+3.5284E+00
-3.5400E+00,+2.8708E+00,+3.4900E+00,+3.5347E+00
-3.5300E+00,+2.8708E+00,+3.4525E+00,+3.5378E+00
-3.5200E+00,+2.8711E+00,+3.4400E+00,+3.5409E+00
-3.5100E+00,+2.8724E+00,+3.4337E+00,+3.5441E+00
-3.5000E+00,+2.8708E+00,+3.4150E+00,+3.5487E+00
-3.4900E+00,+2.8708E+00,+3.3837E+00,+3.5487E+00
-3.4800E+00,+2.8714E+00,+3.3525E+00,+3.5503E+00
-3.4700E+00,+2.8711E+00,+3.3275E+00,+3.5519E+00
-3.4600E+00,+2.8711E+00,+3.3150E+00,+3.5597E+00
-3.4500E+00,+2.8714E+00,+3.2837E+00,+3.5597E+00
-3.4400E+00,+2.8721E+00,+3.2400E+00,+3.5628E+00
-3.4300E+00,+2.8708E+00,+3.2212E+00,+3.5675E+00
-3.4200E+00,+2.8717E+00,+3.2087E+00,+3.5675E+00
-3.4100E+00,+2.8727E+00,+3.1587E+00,+3.5737E+00
-3.4000E+00,+2.8721E+00,+3.1150E+00,+3.5737E+00
-3.3900E+00,+2.8711E+00,+3.0650E+00,+3.5784E+00
-3.3800E+00,+2.8714E+00,+3.0650E+00,+3.5800E+00
-3.3700E+00,+2.8721E+00,+3.0337E+00,+3.5800E+00
-3.3600E+00,+2.8724E+00,+2.9837E+00,+3.5878E+00
-3.3500E+00,+2.8721E+00,+2.9150E+00,+3.5847E+00
-3.3400E+00,+2.8717E+00,+2.9087E+00,+3.5925E+00
-3.3300E+00,+2.8727E+00,+2.8962E+00,+3.5956E+00
-3.3200E+00,+2.8721E+00,+2.8275E+00,+3.5972E+00
-3.3100E+00,+2.8724E+00,+2.7712E+00,+3.6003E+00
-3.3000E+00,+2.8733E+00,+2.7400E+00,+3.6034E+00
-3.2900E+00,+2.8733E+00,+2.7150E+00,+3.6066E+00
-3.2800E+00,+2.8730E+00,+2.6837E+00,+3.6097E+00
-3.2700E+00,+2.8727E+00,+2.6275E+00,+3.6112E+00
-3.2600E+00,+2.8736E+00,+2.5650E+00,+3.6128E+00
-3.2500E+00,+2.8736E+00,+2.5462E+00,+3.6144E+00
-3.2400E+00,+2.8746E+00,+2.5337E+00,+3.6206E+00
-3.2300E+00,+2.8733E+00,+2.4775E+00,+3.6191E+00
-3.2200E+00,+2.8733E+00,+2.4212E+00,+3.6222E+00
-3.2100E+00,+2.8717E+00,+2.3900E+00,+3.6237E+00
-3.2000E+00,+2.8724E+00,+2.3650E+00,+3.6206E+00
-3.1900E+00,+2.8727E+00,+2.3462E+00,+3.6222E+00
-3.1800E+00,+2.8721E+00,+2.3025E+00,+3.6253E+00
-3.1700E+00,+2.8727E+00,+2.2462E+00,+3.6269E+00
-3.1600E+00,+2.8721E+00,+2.2212E+00,+3.6253E+00
-3.1500E+00,+2.8736E+00,+2.2087E+00,+3.6269E+00
-3.1400E+00,+2.8730E+00,+2.1837E+00,+3.6300E+00
-3.1300E+00,+2.8742E+00,+2.1462E+00,+3.6284E+00
-3.1200E+00,+2.8730E+00,+2.0962E+00,+3.6300E+00
-3.1100E+00,+2.8736E+00,+2.0775E+00,+3.6300E+00
-3.1000E+00,+2.8736E+00,+2.0712E+00,+3.6300E+00
-3.0900E+00,+2.8746E+00,+2.0650E+00,+3.6316E+00
-3.0800E+00,+2.8739E+00,+2.0212E+00,+3.6316E+00
-3.0700E+00,+2.8742E+00,+1.9962E+00,+3.6300E+00
-3.0600E+00,+2.8742E+00,+1.9837E+00,+3.6300E+00
-3.0500E+00,+2.8742E+00,+1.9837E+00,+3.6300E+00
-3.0400E+00,+2.8739E+00,+1.9837E+00,+3.6284E+00
-3.0300E+00,+2.8733E+00,+1.9837E+00,+3.6284E+00
-3.0200E+00,+2.8746E+00,+1.9837E+00,+3.6284E+00
-3.0100E+00,+2.8742E+00,+1.9837E+00,+3.6284E+00
-3.0000E+00,+2.8742E+00,+1.9837E+00,+3.6237E+00
-2.9900E+00,+2.8739E+00,+1.9837E+00,+3.6253E+00
-2.9800E+00,+2.8742E+00,+1.9837E+00,+3.6237E+00
-2.9700E+00,+2.8739E+00,+1.9837E+00,+3.6237E+00
-2.9600E+00,+2.8736E+00,+1.9837E+00,+3.6222E+00
-2.9500E+00,+2.8739E+00,+1.9837E+00,+3.6222E+00
-2.9400E+00,+2.8736E+00,+1.9837E+00,+3.6206E+00
-2.9300E+00,+2.8736E+00,+1.9837E+00,+3.6191E+00
-2.9200E+00,+2.8742E+00,+1.9837E+00,+3.6191E+00
-2.9100E+00,+2.8736E+00,+1.9837E+00,+3.6144E+00
-2.9000E+00,+2.8733E+00,+1.9837E+00,+3.6112E+00
-2.8900E+00,+2.8733E+00,+1.9837E+00,+3.6112E+00
-2.8800E+00,+2.8739E+00,+1.9837E+00,+3.6097E+00
-2.8700E+00,+2.8733E+00,+1.9837E+00,+3.6081E+00
-2.8600E+00,+2.8739E+00,+1.9837E+00,+3.6081E+00
-2.8500E+00,+2.8733E+00,+1.9837E+00,+3.6034E+00
-2.8400E+00,+2.8733E+00,+1.9837E+00,+3.6003E+00
-2.8300E+00,+2.8727E+00,+1.9837E+00,+3.6019E+00
-2.8200E+00,+2.8730E+00,+1.9837E+00,+3.5941E+00
-2.8100E+00,+2.8730E+00,+1.9837E+00,+3.5941E+00
-2.8000E+00,+2.8730E+00,+1.9837E+00,+3.5941E+00
-2.7900E+00,+2.8724E+00,+1.9962E+00,+3.5925E+00
-2.7800E+00,+2.8730E+00,+1.9962E+00,+3.5878E+00
-2.7700E+00,+2.8733E+00,+2.0212E+00,+3.5847E+00
-2.7600E+00,+2.8733E+00,+2.0650E+00,+3.5816E+00
-2.7500E+00,+2.8708E+00,+2.0962E+00,+3.5816E+00
-2.7400E+00,+2.8730E+00,+2.1087E+00,+3.5800E+00
-2.7300E+00,+2.8727E+00,+2.1275E+00,+3.5753E+00
-2.7200E+00,+2.8724E+00,+2.1462E+00,+3.5753E+00
-2.7100E+00,+2.8736E+00,+2.1900E+00,+3.5675E+00
-2.7000E+00,+2.8727E+00,+2.2337E+00,+3.5659E+00
-2.6900E+00,+2.8727E+00,+2.2650E+00,+3.5534E+00
-2.6800E+00,+2.8724E+00,+2.2775E+00,+3.5597E+00
-2.6700E+00,+2.8727E+00,+2.3087E+00,+3.5628E+00
-2.6600E+00,+2.8721E+00,+2.3525E+00,+3.5550E+00
